Frequent Itemsets (by size k)

--- k = 1 ---
{1}: Support Count = 1535
{10}: Support Count = 1351
{100}: Support Count = 1749
{104}: Support Count = 1158
{105}: Support Count = 1100
{108}: Support Count = 940
{110}: Support Count = 1801
{111}: Support Count = 1171
{112}: Support Count = 2680
{114}: Support Count = 816
{115}: Support Count = 1775
{116}: Support Count = 2193
{118}: Support Count = 916
{12}: Support Count = 3415
{120}: Support Count = 4973
{122}: Support Count = 1081
{125}: Support Count = 1287
{126}: Support Count = 1075
{129}: Support Count = 1547
{130}: Support Count = 1711
{132}: Support Count = 2641
{140}: Support Count = 2687
{143}: Support Count = 1417
{145}: Support Count = 4559
{147}: Support Count = 1383
{151}: Support Count = 2611
{154}: Support Count = 1447
{157}: Support Count = 1140
{158}: Support Count = 884
{160}: Support Count = 987
{161}: Support Count = 2320
{162}: Support Count = 1450
{163}: Support Count = 1256
{168}: Support Count = 1538
{17}: Support Count = 1683
{170}: Support Count = 1203
{171}: Support Count = 1097
{173}: Support Count = 1080
{175}: Support Count = 2791
{177}: Support Count = 4629
{18}: Support Count = 813
{181}: Support Count = 1235
{183}: Support Count = 3883
{185}: Support Count = 1529
{192}: Support Count = 2004
{193}: Support Count = 925
{196}: Support Count = 2096
{197}: Support Count = 1230
{198}: Support Count = 1461
{201}: Support Count = 1029
{203}: Support Count = 861
{204}: Support Count = 2174
{205}: Support Count = 3605
{207}: Support Count = 1214
{208}: Support Count = 1483
{21}: Support Count = 2666
{210}: Support Count = 2009
{214}: Support Count = 1893
{217}: Support Count = 5375
{224}: Support Count = 919
{227}: Support Count = 1818
{229}: Support Count = 2281
{234}: Support Count = 1416
{236}: Support Count = 2618
{239}: Support Count = 2742
{240}: Support Count = 1399
{242}: Support Count = 2325
{25}: Support Count = 1395
{258}: Support Count = 1036
{259}: Support Count = 1522
{265}: Support Count = 1359
{266}: Support Count = 1022
{268}: Support Count = 885
{27}: Support Count = 2165
{274}: Support Count = 2628
{275}: Support Count = 1692
{276}: Support Count = 2479
{277}: Support Count = 982
{279}: Support Count = 3014
{28}: Support Count = 1454
